group_keyword,group_sentence_1,video_id,youtube,school_zh,school_total_videos,township_slug,township_total_videos,decision,reason
dance (n),the dancers teach students dance moves.,rMZFYHABOfo,https://www.youtube.com/watch?v=rMZFYHABOfo,彰化縣北斗鎮螺陽國小,25,beidou,199,KEEP,kept: smallest school count (25 videos)
dance (n),the dancers teach students dance moves.,fDFdKYFo95I,https://www.youtube.com/watch?v=fDFdKYFo95I,彰化縣社頭鄉湳雅國小,71,shetou,95,DROP,dropped: same as rMZFYHABOfo (彰化縣北斗鎮螺陽國小)
food cart,"at lunch time, a food cart loaded with various dishes is brought to the classroom.",-IPUtkI-BRs,https://www.youtube.com/watch?v=-IPUtkI-BRs,彰化縣福興鄉育新國小,28,fuxing,143,KEEP,kept: smallest school count (28 videos)
food cart,"at lunch time, a food cart loaded with various dishes is brought to the classroom.",8xlFLBjER3c,https://www.youtube.com/watch?v=8xlFLBjER3c,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as -IPUtkI-BRs (彰化縣福興鄉育新國小)
spring couplet,the students write a spring couplet in class.,h0ThnvKRCfU,https://www.youtube.com/watch?v=h0ThnvKRCfU,彰化縣彰化市南興國小,29,changhua-city,387,KEEP,kept: smallest school count (29 videos)
spring couplet,the students write a spring couplet in class.,HzqjhZbzkaM,https://www.youtube.com/watch?v=HzqjhZbzkaM,彰化縣二水鄉二水國小,40,ershui,91,DROP,dropped: same as h0ThnvKRCfU (彰化縣彰化市南興國小)
spring couplet,the students write a spring couplet in class.,h15RAPrM6qA,https://www.youtube.com/watch?v=h15RAPrM6qA,彰化縣和美鎮和仁國小,45,hemei,99,DROP,dropped: same as h0ThnvKRCfU (彰化縣彰化市南興國小)
kindergarteners (n),the kindergarteners sing and dance to a song.,WoWJCaCKRtg,https://www.youtube.com/watch?v=WoWJCaCKRtg,彰化縣鹿港鎮東興國小,14,lukang,114,KEEP,kept: smallest school count (14 videos)
kindergarteners (n),the kindergarteners sing and dance to a song.,30wcBHWlH1I,https://www.youtube.com/watch?v=30wcBHWlH1I,彰化縣二水鄉二水國小,40,ershui,91,DROP,dropped: same as WoWJCaCKRtg (彰化縣鹿港鎮東興國小)
chinese yo yo,the chinese yo-yo is a popular toy many children enjoy.,qe-ku2hA0MQ,https://www.youtube.com/watch?v=qe-ku2hA0MQ,彰化縣鹿港鎮東興國小,14,lukang,114,KEEP,kept: smallest school count (14 videos)
chinese yo yo,the chinese yo-yo is a popular toy many children enjoy.,tpw2AzrvcTY,https://www.youtube.com/watch?v=tpw2AzrvcTY,彰化縣二水鄉二水國小,40,ershui,91,DROP,dropped: same as qe-ku2hA0MQ (彰化縣鹿港鎮東興國小)
hot pot,the students make hot pot for lunch.,NLlVcGmkBzo,https://www.youtube.com/watch?v=NLlVcGmkBzo,彰化縣溪湖鎮湖西國小,38,xihu,40,KEEP,kept: smallest school count (38 videos)
